Wall time,Step,Value
1562225629.659898,42,0.01871100440621376
1562225629.953113,94,0.013652331195771694
1562225630.3759813,167,0.012850113213062286
1562225630.686152,229,0.012415511533617973
1562225630.7120829,234,0.012419242411851883
1562225630.9165366,273,0.012323216535151005
1562225631.1379445,310,0.012252068147063255
1562225631.1898053,318,0.012202280573546886
1562225632.0694528,474,0.012062537483870983
1562225632.4524293,536,0.012013111263513565
1562225632.6748338,579,0.011986412107944489
1562225632.706748,586,0.011970408260822296
1562225632.9570787,634,0.011929972097277641
1562225633.0408547,647,0.011918585747480392
1562225633.401889,714,0.01181627344340086
1562225633.8546786,808,0.011576449498534203
1562225634.9457603,1014,0.01026308722794056
1562225635.2549336,1066,0.00972905196249485
1562225636.615295,1333,0.009529327973723412
1562225636.6332471,1337,0.009522872045636177
1562225636.865626,1385,0.009514528326690197
1562225636.9055188,1392,0.009555686265230179
1562225637.1728044,1436,0.009515798650681973
1562225638.579044,1691,0.009471507743000984
1562225638.7974596,1734,0.009497277438640594
1562225638.8134167,1737,0.009495585225522518
1562225639.6471868,1877,0.009427933022379875
1562225639.854632,1917,0.009450060315430164
1562225640.600637,2036,0.009408020414412022
1562225640.918787,2096,0.009416873566806316
1562225641.5431166,2199,0.009407212026417255
1562225641.9440455,2262,0.009416681714355946
1562225642.3609297,2307,0.009398932568728924
1562225642.8067374,2389,0.009450399316847324
1562225643.0730264,2436,0.009459669701755047
1562225643.3433018,2485,0.009447864256799221
1562225643.3472912,2486,0.009395455941557884
1562225643.4041395,2498,0.009448717348277569
1562225643.5786726,2532,0.00945341121405363
1562225644.3815253,2685,0.009415379725396633
1562225644.6527998,2740,0.009407632984220982
1562225646.2207441,3038,0.009369110688567162
1562225647.224062,3230,0.009377012960612774
1562225647.3148174,3246,0.009396081790328026
1562225647.6299746,3305,0.009386262856423855
1562225649.436145,3618,0.00936336349695921
1562225649.4471154,3620,0.0093952976167202
1562225649.712406,3670,0.009354617446660995
1562225650.1482403,3741,0.009394180029630661
1562225650.563131,3814,0.009369594044983387
1562225650.6000314,3821,0.009332628920674324
1562225651.2393224,3928,0.00937596708536148
1562225651.4018877,3956,0.009367609396576881
1562225651.8087995,4036,0.009259472601115704
1562225652.647556,4196,0.009145819582045078
1562225653.3057966,4317,0.00901216734200716
1562225653.7047286,4400,0.008797765709459782
1562225654.2164795,4492,0.007668094709515572
1562225654.3062391,4509,0.008337758481502533
1562225655.167935,4676,0.002412363886833191
1562225655.722452,4788,0.0021841113921254873
1562225656.6858757,4971,0.0021862478461116552
1562225657.5405898,5106,0.002016584388911724
1562225657.6842058,5134,0.002010943368077278
1562225658.8839972,5345,0.0019384905463084579
1562225658.9747546,5359,0.0019512074068188667
1562225660.0977511,5549,0.001974036218598485
1562225660.826802,5679,0.0019070000853389502
1562225661.1150305,5723,0.0019546779803931713
1562225661.599734,5808,0.0019692699424922466
1562225661.8700109,5864,0.0019215682987123728
1562225661.9119005,5871,0.0019343820167705417
1562225662.1193454,5907,0.002016306621953845
1562225662.5422132,5990,0.0019103423692286015
1562225663.6502502,6200,0.0019000159809365869
1562225663.771925,6219,0.0018394740764051676
1562225664.2406726,6289,0.0018753687618300319
1562225665.796511,6574,0.0018736342899501324
1562225665.9560843,6603,0.0018420313717797399
1562225666.5734322,6699,0.0019824421033263206
1562225666.6382596,6711,0.0019227989250794053
1562225667.4730268,6854,0.0018858727999031544
1562225668.0903757,6966,0.0019318796694278717
1562225669.2014043,7155,0.0018635853193700314
1562225670.5697453,7382,0.0018416470848023891
1562225670.9906197,7460,0.0018694549798965454
1562225671.021537,7463,0.0018450813367962837
1562225671.306775,7511,0.00181171006988734
1562225672.9793015,7788,0.0019161684904247522
1562225673.0471196,7798,0.0018135212594643235
1562225673.284485,7833,0.0018278395291417837
1562225674.2937858,7991,0.0018688864074647427
1562225674.6677852,8066,0.001799090183340013
1562225675.2980995,8180,0.0017641668673604727
1562225675.5005586,8221,0.0018031606450676918
